id;origen;final;status;reason;distance;duration
86-65;86;65;200;OK;2781.3;481.3
47-13;47;13;200;OK;2986.8;564.9
65-45;65;45;200;OK;3322.6;552.6
108-38;108;38;200;OK;2845.4;504.7
43-16;43;16;200;OK;1929.4;324.0
83-6;83;6;200;OK;4255.6;696.3
74-166;74;166;200;OK;2542.9;421.9
162-2;162;2;200;OK;3547.3;581.4
168-63;168;63;200;OK;1887.6;336.0
4-12;4;12;200;OK;1155.6;314.3
11-109;11;109;200;OK;970.9;159.9
123-159;123;159;200;OK;3306.5;557.1
123-167;123;167;200;OK;3088.3;505.3
99-2;99;2;200;OK;1386.3;227.8
148-138;148;138;200;OK;1711.4;280.0
62-38;62;38;200;OK;1727.9;321.8
124-167;124;167;200;OK;3111.9;509.2
47-47;47;47;200;OK;0;0
49-44;49;44;200;OK;1443.5;246.3
96-53;96;53;200;OK;3806.3;626.4
71-126;71;126;200;OK;1870.5;306.1
51-43;51;43;200;OK;1138.1;276.1
145-58;145;58;200;OK;2784.9;455.7
143-58;143;58;200;OK;3466.0;567.1
19-108;19;108;200;OK;2002.2;335.6
84-69;84;69;200;OK;1253.7;205.1
154-161;154;161;200;OK;1663.8;296.7
113-171;113;171;200;OK;2333.6;381.8
6-128;6;128;200;OK;4132.1;676.1
20-81;20;81;200;OK;4274.7;700.9
123-3;123;3;200;OK;828.0;157.0
12-39;12;39;200;OK;2331.8;469.9
49-52;49;52;200;OK;955.4;193.6
102-172;102;172;200;OK;4439.6;736.6
98-146;98;146;200;OK;2868.4;481.5
43-58;43;58;200;OK;2393.2;454.3
105-9;105;9;200;OK;1935.3;316.7
116-119;116;119;200;OK;462.3;86.6
163-24;163;24;200;OK;2030.6;402.3
83-106;83;106;200;OK;2746.8;449.4
150-145;150;145;200;OK;855.6;225.1
57-56;57;56;200;OK;1379.5;314.1
34-133;34;133;200;OK;2520.9;415.9
165-75;165;75;200;OK;3541.9;586.4
104-117;104;117;200;OK;4480.1;743.6
167-17;167;17;200;OK;2932.5;479.8
169-57;169;57;200;OK;3966.4;657.8
28-42;28;42;200;OK;1086.9;233.1
71-31;71;31;200;OK;817.1;153.2
16-43;16;43;200;OK;2011.2;357.1
86-37;86;37;200;OK;1370.2;271.2
158-161;158;161;200;OK;1013.2;175.9
146-146;146;146;200;OK;0;0
42-118;42;118;200;OK;3339.1;546.4
122-99;122;99;200;OK;2965.0;485.2
80-168;80;168;200;OK;5215.0;882.0
19-164;19;164;200;OK;2027.0;339.7
125-49;125;49;200;OK;3230.8;557.7
69-23;69;23;200;OK;1466.9;261.0
75-59;75;59;200;OK;3513.2;590.1
110-58;110;58;200;OK;1481.5;242.4
52-56;52;56;200;OK;1886.3;409.9
90-38;90;38;200;OK;2859.3;506.9
24-8;24;8;200;OK;738.8;153.6
66-75;66;75;200;OK;979.6;160.7
9-66;9;66;200;OK;2495.1;408.6
171-3;171;3;200;OK;3808.8;672.6
38-52;38;52;200;OK;1325.9;279.4
24-16;24;16;200;OK;1201.3;229.2
47-136;47;136;200;OK;2199.3;365.7
21-65;21;65;200;OK;2073.7;343.4
117-124;117;124;200;OK;1357.1;222.0
49-167;49;167;200;OK;4299.4;726.4
98-149;98;149;200;OK;2874.6;487.8
5-56;5;56;200;OK;2309.8;418.7
43-118;43;118;200;OK;3543.9;579.9
